"physician_id","physician_name","specialty","hospital","years_experience"
"P0001","Dr. Richard Sarker","Cardiology","City Hospital",3
"P0002","Dr. Tanvir Rahman","Orthopedics","City Hospital",25
"P0003","Dr. Mary Davis","Cardiology","City Hospital",5
"P0004","Dr. Tanvir Miller","Internal Medicine","General Hospital",8
"P0005","Dr. Farhana Miah","Orthopedics","Metro Clinic",7
"P0006","Dr. Karim Ahmed","Internal Medicine","General Hospital",23
"P0007","Dr. Mary Brown","Orthopedics","General Hospital",29
"P0008","Dr. Joseph Williams","Pediatrics","Metro Clinic",7
"P0009","Dr. Rahim Johnson","Neurology","General Hospital",3
"P0010","Dr. Hasan Hossain","Pediatrics","Metro Clinic",19
"P0011","Dr. Mehedi Garcia","Internal Medicine","City Hospital",21
"P0012","Dr. John Smith","Neurology","Metro Clinic",16
"P0013","Dr. Patricia Hossain","Orthopedics","City Hospital",14
"P0014","Dr. Nusrat Ali","Neurology","General Hospital",12
"P0015","Dr. Imran Martinez","Cardiology","General Hospital",22
"P0016","Dr. Sadia Chowdhury","Neurology","City Hospital",23
"P0017","Dr. Elizabeth Rahman","Cardiology","General Hospital",20
"P0018","Dr. Mehedi Miah","Neurology","Metro Clinic",26
"P0019","Dr. Patricia Sarker","Cardiology","City Hospital",29
"P0020","Dr. Nusrat Williams","Internal Medicine","General Hospital",13
"P0021","Dr. William Miah","Pediatrics","City Hospital",32
"P0022","Dr. Richard Rodriguez","Orthopedics","Metro Clinic",4
"P0023","Dr. Richard Uddin","Neurology","Metro Clinic",27
"P0024","Dr. Michael Khan","Pediatrics","General Hospital",20
"P0025","Dr. Jessica Rodriguez","Orthopedics","Metro Clinic",31
"P0026","Dr. Farhana Johnson","Orthopedics","City Hospital",27
"P0027","Dr. Karen Rahman","Cardiology","Metro Clinic",9
"P0028","Dr. Sadia Miller","Internal Medicine","City Hospital",33
"P0029","Dr. Patricia Davis","Internal Medicine","City Hospital",26
"P0030","Dr. Elizabeth Williams","Pediatrics","Metro Clinic",17
"P0031","Dr. Linda Ali","Internal Medicine","General Hospital",13
"P0032","Dr. Michael Uddin","Neurology","Metro Clinic",20
"P0033","Dr. Joseph Brown","Internal Medicine","City Hospital",25
"P0034","Dr. John Garcia","Pediatrics","City Hospital",14
"P0035","Dr. Rahim Martinez","Internal Medicine","Metro Clinic",8
"P0036","Dr. Michael Uddin","Neurology","General Hospital",22
"P0037","Dr. Farhana Hossain","Cardiology","General Hospital",25
"P0038","Dr. John Martinez","Pediatrics","City Hospital",34
"P0039","Dr. Mehedi Brown","Cardiology","City Hospital",32
"P0040","Dr. Linda Chowdhury","Cardiology","General Hospital",15
"P0041","Dr. Elizabeth Davis","Cardiology","Metro Clinic",22
"P0042","Dr. Linda Davis","Orthopedics","City Hospital",18
"P0043","Dr. Ayesha Chowdhury","Orthopedics","City Hospital",20
"P0044","Dr. Jennifer Uddin","Cardiology","General Hospital",12
"P0045","Dr. Elizabeth Islam","Pediatrics","Metro Clinic",30
"P0046","Dr. Thomas Rahman","Neurology","General Hospital",25
"P0047","Dr. Jennifer Smith","Neurology","Metro Clinic",10
"P0048","Dr. Nusrat Miller","Internal Medicine","Metro Clinic",20
"P0049","Dr. Thomas Smith","Pediatrics","Metro Clinic",23
"P0050","Dr. Patricia Davis","Orthopedics","City Hospital",3
"P0051","Dr. Hasan Ahmed","Cardiology","General Hospital",25
"P0052","Dr. Sarah Ali","Internal Medicine","General Hospital",10
"P0053","Dr. Joseph Williams","Neurology","Metro Clinic",31
"P0054","Dr. Robert Smith","Orthopedics","City Hospital",34
"P0055","Dr. Imran Jones","Orthopedics","City Hospital",8
"P0056","Dr. Charles Miller","Cardiology","General Hospital",7
"P0057","Dr. Farhana Rodriguez","Neurology","City Hospital",17
"P0058","Dr. Sadia Miller","Pediatrics","City Hospital",24
"P0059","Dr. Thomas Davis","Orthopedics","Metro Clinic",17
"P0060","Dr. Patricia Johnson","Cardiology","City Hospital",4
"P0061","Dr. James Chowdhury","Pediatrics","Metro Clinic",3
"P0062","Dr. Karim Jones","Neurology","General Hospital",25
"P0063","Dr. Robert Hossain","Orthopedics","City Hospital",25
"P0064","Dr. Joseph Williams","Pediatrics","General Hospital",28
"P0065","Dr. James Williams","Pediatrics","General Hospital",13
"P0066","Dr. William Rahman","Pediatrics","City Hospital",12
"P0067","Dr. Linda Williams","Orthopedics","City Hospital",32
"P0068","Dr. James Jones","Orthopedics","General Hospital",20
"P0069","Dr. Farhana Khan","Internal Medicine","City Hospital",20
"P0070","Dr. Richard Rodriguez","Neurology","Metro Clinic",19
"P0071","Dr. Elizabeth Rahman","Cardiology","Metro Clinic",28
"P0072","Dr. Farhana Martinez","Pediatrics","City Hospital",10
"P0073","Dr. Sadia Islam","Internal Medicine","General Hospital",17
"P0074","Dr. Sarah Miller","Cardiology","City Hospital",10
"P0075","Dr. Susan Sarker","Internal Medicine","City Hospital",19
"P0076","Dr. Tanvir Brown","Orthopedics","General Hospital",14
"P0077","Dr. Mehedi Jones","Pediatrics","General Hospital",29
"P0078","Dr. Karim Miller","Cardiology","Metro Clinic",10
"P0079","Dr. Jennifer Rahman","Cardiology","General Hospital",27
"P0080","Dr. Mary Brown","Cardiology","Metro Clinic",16
"P0081","Dr. Jennifer Miller","Cardiology","General Hospital",6
"P0082","Dr. Imran Miah","Cardiology","City Hospital",3
"P0083","Dr. Rahim Johnson","Internal Medicine","Metro Clinic",3
"P0084","Dr. Charles Islam","Pediatrics","Metro Clinic",21
"P0085","Dr. Mehedi Garcia","Orthopedics","Metro Clinic",33
"P0086","Dr. Sadia Hossain","Orthopedics","City Hospital",18
"P0087","Dr. Patricia Sarker","Orthopedics","City Hospital",16
"P0088","Dr. Mehedi Ahmed","Orthopedics","City Hospital",23
"P0089","Dr. Farhana Miller","Internal Medicine","City Hospital",18
"P0090","Dr. Mehedi Smith","Neurology","City Hospital",7
"P0091","Dr. James Sarker","Pediatrics","Metro Clinic",11
